
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8555539174680 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 405, BL 31 VAGA N 567 ;110.819,21;193.000,00;42.59;Apartamento, 90.53 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555539174680
 8555538122199 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 405, ;135.539,73;230.000,00;41.07;Apartamento, 90.53 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555538122199
 8787703905892 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 405, BL 21 ;101.926,27;172.000,00;40.75;Apartamento, 90.58 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703905892
 8787713901261 ;SP ;AMERICANA ;JARDIM SAO DOMINGOS ;RUA TREZE DE MAIO, N. 85, Apto 301, TR B VG 026 ;177.000,00;295.000,00;40.00;Apartamento, 82.51 de área total, 54.78 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713901261
 8787706921368 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 302, BL 14 VAGA 747 ;113.025,32;187.000,00;39.56;Apartamento, 50.42 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706921368
 8787707542182 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 308, BL 14 GLB A3B ;114.834,94;189.994,00;39.56;Apartamento, 90.58 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707542182
 8787709407886 ;SP ;AMERICANA ;BALSA ;RUA APARECIDA TOGNETTA BASSETTE, N. 1555, Apto 04, BL I ;123.300,35;204.000,00;39.56;Apartamento, 54.90 de área total, 49.03 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709407886
 8444418443620 ;SP ;AMERICANA ;PARQUE RESIDENCIAL JAGUARI ;AVENIDA SANTA CECILIA, N. 969, Apto 22, ;145.116,17;237.000,00;38.77;Apartamento, 71.05 de área total, 65.39 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418443620
 10211751 ;SP ;AMERICANA ;VILA SANTA MARIA ;RUA FRANCA, N. 105 ;1.056.348,45;1.700.000,00;37.87;Casa, 0.00 de área total, 499.71 de área privativa, 660.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10211751
 8444410009556 ;SP ;AMERICANA ;BRIEDS ;RUA TIMBIRAS, N. 400, Apto 03, BL 07 ;134.944,69;214.394,17;37.06;Apartamento, 65.91 de área total, 60.95 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410009556
 1444412467570 ;SP ;AMERICANA ;RESIDENCIAL PRAIA DOS NAMORADOS ;RUA BENEDITO COLLA (ANTIGA RUA 08), N. 181, LT 09 QD E ;658.982,99;1.034.000,00;36.27;Casa, 222.66 de área total, 222.66 de área privativa, 1000.00 de área do terreno,  4 qto(s), a.serv, WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444412467570
 8181400001280 ;SP ;AMERICANA ;RECANTO ;AVENIDA BANDEIRANTES, N. 770, Apto 601, PREDIO 02 ;226.700,00;226.700,00;0.00;Apartamento, 66.95 de área total, 54.59 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8181400001280
 8444414832060 ;SP ;AMERICANA ;CONSERVA ;RUA CABO OSWALDO DE MORAIS, N. 647, Apto 103, BL 06 VAGA 76 ;202.000,00;202.000,00;0.00;Apartamento, 70.11 de área total, 47.86 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414832060
 8444419185519 ;SP ;AMERICANA ;SAO MANOEL ;RUA SANTO ONOFRE, N. 592, QD.A-B LT.5-A ;230.000,00;230.000,00;0.00;Casa, 0.00 de área total, 58.60 de área privativa, 165.30 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419185519
 8444425615481 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 402, BL 17 ;172.000,00;172.000,00;0.00;Apartamento, 90.58 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425615481
 8555536463355 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 201, BL 26 VG 743 ;199.500,00;199.500,00;0.00;Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555536463355
 8787702350552 ;SP ;AMERICANA ;CARIOBINHA ;RUA SAO SIMAO, N. 265, Apto 68, BL B ;258.000,00;258.000,00;0.00;Apartamento, 65.87 de área total, 45.33 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702350552
 8787705236793 ;SP ;AMERICANA ;BALSA ;RUA RIO CANINDE, N. 55, Apto 31, BL H PAV 03 ;183.000,00;183.000,00;0.00;Apartamento, 66.45 de área total, 49.03 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705236793
 8555539016406 ;SP ;AMERICANA ;JARDIM BELA VISTA ;AVENIDA EUROPA, N. 928, Apto 13, TORRE 08 ;226.743,09;226.000,00;0.00;Apartamento, 129.93 de área total, 49.71 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555539016406
 8444418560103 ;SP ;AMERICANA ;VILA DAINESE ;RUA CAMAQUA, N. 304, Apto 22, ;196.053,70;195.000,00;0.00;Apartamento, 121.86 de área total, 48.43 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418560103
