
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10217328 ;CE ;CASCAVEL ;PARQUE URUPÊ ;RUA JOÃO IRINEU FILHO, N. 862, QD 17, PARTE LT 06 ;96.963,89;157.000,00;38.24;Casa, 0.00 de área total, 79.00 de área privativa, 210.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10217328
 8444402516193 ;CE ;CASCAVEL ;MATA-QUIRI ; RUA 12, N. 667, ;116.443,31;185.000,00;37.06;Casa, 89.00 de área total, 89.00 de área privativa, 240.21 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402516193
 8444401336795 ;CE ;CASCAVEL ;CORRENTE ARGEMIRO ; RUA SAO SACRISTAO FRANCISCO JOSE DE OLIVEIRA, N. 618, QD 19 LT 10 ;203.000,00;203.000,00;0.00;Casa, 105.00 de área total, 105.00 de área privativa, 363.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401336795
 8444409313069 ;CE ;CASCAVEL ;JARDIM PRIMAVERA ;RUA 01, N. 1357, ;142.500,00;142.500,00;0.00;Casa, 84.00 de área total, 84.00 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409313069
 8444411872150 ;CE ;CASCAVEL ;CORRENTES NEVES ; ESTRADA DO FIO TELÉGRAFO, N. 932, ;260.000,00;260.000,00;0.00;Casa, 99.93 de área total, 99.93 de área privativa, 183.90 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411872150
 8444408454564 ;CE ;CATUANA ;CATUANA ;R 26, N. 34, LOT ARATURI ;134.143,17;150.000,00;10.58;Casa, 0.00 de área total, 62.50 de área privativa, 125.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408454564
 10193115 ;CE ;CAUCAIA ;TOCO JUREMA ;RUA 43, N. SN, QD 33, LTS 01 a 06 e 27 a 32 ;201.497,77;550.000,00;63.37;Terreno, 0.00 de área total, 0.00 de área privativa, 4680.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10193115
 8444403978603 ;CE ;CAUCAIA ;CAPUAN ;RUA PLACIDO ADERALDO CASTELO, N. 104, Apto 101, BL A ;38.883,44;105.000,00;62.97;Apartamento, 0.00 de área total, 57.33 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403978603
 8444430072903 ;CE ;CAUCAIA ;JANDAIGUABA ; RUA CAMPOS VERDES, N. 54, Apto 406, BL B, ATUAL RUA JANDAIGUABINHA ;80.118,79;169.000,00;52.60;Apartamento, 0.00 de área total, 50.80 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430072903
 8555521957446 ;CE ;CAUCAIA ;PQ MALOUBER ;RUA ANTONIO MOREIRA DA ROCHA, N. 855, Apto 203, BL A ;63.942,61;120.000,00;46.72;Apartamento, 0.00 de área total, 45.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555521957446
 1444417110548 ;CE ;CAUCAIA ;TOCO (JUREMA) ;RUA 07, N. 755, CS 01 LOT LINO DA SILVEIRA ;85.374,57;150.000,00;43.09;Casa, 0.00 de área total, 48.64 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417110548
 1444402708558 ;CE ;CAUCAIA ;PACHECO ;RUA PASTOR PEDRO QUEIROZ, N. 438, LT 03 QD 99 ANTIGA RUA H ;195.018,17;340.000,00;42.65;Casa, 0.00 de área total, 191.00 de área privativa, 1000.00 de área do terreno,  4 qto(s), a.serv, WC, WC Emp, 1 sala(s), DCE, cozinha, 5 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444402708558
 8787709271836 ;CE ;CAUCAIA ;ITAMBE ;RUA 15 DE NOVEMBRO, N. 951, Apto 405, BL 09 VG 201 ;78.781,14;136.000,00;42.08;Apartamento, 59.88 de área total, 44.04 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709271836
 8444406955205 ;CE ;CAUCAIA ;PARQUE POTIRA (JUREMA) ;RUA GALIENTE, N. SN, Apto 05, LOTEAMENTO PARQUE POTIRA ;82.257,55;140.500,00;41.46;Apartamento, 50.17 de área total, 47.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406955205
 8787706940966 ;CE ;CAUCAIA ;PAUMIRIM ;R NORMA GUILHON MITOSO, N. 100, Apto 204, BL19 ;84.306,67;144.000,00;41.46;Apartamento, 47.45 de área total, 42.64 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706940966
 8787710282110 ;CE ;CAUCAIA ;PAUMIRIM ;RUA NORMA GUILHON MITOSO, N. 100, Apto 404, BLOCO 02 ;86.648,52;148.000,00;41.46;Apartamento, 47.45 de área total, 42.64 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710282110
 8787714301144 ;CE ;CAUCAIA ;CIGANA ;RUA L, N. SN, Apto 304, BL E VG 94 ;83.721,21;143.000,00;41.46;Apartamento, 59.04 de área total, 41.49 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714301144
 8787714378376 ;CE ;CAUCAIA ;ITAMBE ;RUA QUINZE DE NOVEMBRO, N. 941, Apto 507, BL 07 ;87.819,45;150.000,00;41.46;Apartamento, 59.48 de área total, 44.04 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714378376
 8787714398229 ;CE ;CAUCAIA ;ITAMBE ;RUA QUINZE DE NOVEMBRO, N. 941, Apto 502, BL 06 ;82.257,55;140.500,00;41.46;Apartamento, 59.48 de área total, 44.04 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714398229
