
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444406515248 ;RN ;ACU ;MES AMOURS ; AV COMANDANTE MANOEL LINS CALDAS, N. 687, ;65.348,57;114.000,00;42.68;Casa, 72.00 de área total, 72.00 de área privativa, 250.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406515248
 8444406528072 ;RN ;ACU ;BELA VISTA ; R POETA EZEQUIEL LINS WANDERLEY, N. 68, ;68.214,74;119.000,00;42.68;Casa, 83.76 de área total, 83.76 de área privativa, 247.16 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406528072
 8444406853291 ;RN ;ACU ;QUINTA DO FAROL ; RUA JOAO BATISTA WANDERLEY DE SÁ LEITÃO, N. 680, QD E,LT 110 ;71.080,90;124.000,00;42.68;Casa, 71.70 de área total, 71.70 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406853291
 8444411993284 ;RN ;ACU ;FELIZ ASSU ; R PREFEITO JOAO BATISTA LACERDA MONTENEGRO, N. 1174, QD 11 LT 08 ;67.641,51;118.000,00;42.68;Casa, 52.00 de área total, 52.00 de área privativa, 202.87 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411993284
 8444424773768 ;RN ;ACU ;QUINTA DO FAROL ; RUA DR. CANTÍDIO ROSADO, N. 82, LOTE 25, QUADRA 02 ;68.787,97;120.000,00;42.68;Casa, 64.77 de área total, 64.77 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424773768
 8444400211328 ;RN ;ACU ;QUINTA DO FAROL ; RUA JOSE PINHEIRO FILHO, N. 308, ;52.102,60;90.000,00;42.11;Casa, 70.00 de área total, 70.00 de área privativa, 230.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400211328
 8444400500710 ;RN ;ACU ;Janduis ; AVENIDA MUSICISTA SAMUEL SANDOVAL DA FONSECA, N. 1497, LADO PAR ;54.997,19;95.000,00;42.11;Casa, 69.96 de área total, 69.96 de área privativa, 185.00 de área do terreno,  2 qto(s), WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400500710
 8444400714605 ;RN ;ACU ;QUINTA DO FAROL ; RUA LUIZ BENTO DA SILVA, N. 213, LT 14, QD 01 ;56.733,94;98.000,00;42.11;Casa, 67.64 de área total, 67.64 de área privativa, 201.90 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400714605
 8444402445636 ;RN ;ACU ;QUINTA DO FAROL ; RUA ALFERES FRANCISCO SOARES FILGUEIRA, N. 117, ;57.891,78;100.000,00;42.11;Casa, 70.00 de área total, 70.00 de área privativa, 198.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402445636
 8444406112232 ;RN ;ACU ;QUINTA DO FAROL ;RUA NELSON ALVES DE MOURA, N. 140, ;53.416,54;92.269,65;42.11;Casa, 0.00 de área total, 63.12 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406112232
