
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1555532044180 ;PA ;ANANINDEUA ;GUANABARA ;RODOVIA DO QUARENTA HORAS, N. 48, Apto 204, BL 24 VG 353 ;258.000,00;258.000,00;0.00;Apartamento, 127.72 de área total, 56.44 de área privativa, 0.00 de área do terreno,  3 qto(s), varanda, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555532044180
 1787700966957 ;PA ;ANANINDEUA ;LEVILANDIA ;PASSAGEM ESTRELA - TRAVESSA JARDIM ESTRELA, N. SN, SOBRADO 01 BL 01 PARTE LT 17 ;597.000,00;597.000,00;0.00;Casa, 162.30 de área total, 99.67 de área privativa, 120.39 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787700966957
 1787701260489 ;PA ;ANANINDEUA ;LEVILANDIA ;RUA JARDIM II, N. 10, Apto 204, BL 4 ;274.000,00;274.000,00;0.00;Apartamento, 96.21 de área total, 58.64 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701260489
 1787701701930 ;PA ;ANANINDEUA ;QUARENTA HORAS (COQUEIRO) ;AVENIDA GOVERNADOR HELIO DA MOTA GUEIROS, N. 436, Apto 199A, BL 29 TÉRREO ;251.000,00;251.000,00;0.00;Apartamento, 129.80 de área total, 65.44 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, WC Emp, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701701930
 8555524051146 ;PA ;ANANINDEUA ;MAGUARI ;ESTRADA QUINTA DA CARMITA, N. SN, Apto 502, BL 12 ;169.000,00;169.000,00;0.00;Apartamento, 102.69 de área total, 42.65 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555524051146
 8555525474741 ;PA ;ANANINDEUA ;MAGUARI ;ESTRADA QUINTA DA CARMITA, N. SN, Apto 303, BL 12 ;169.000,00;169.000,00;0.00;Apartamento, 102.69 de área total, 42.65 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555525474741
 8555530191302 ;PA ;ANANINDEUA ;MAGUARI ;RUA CLAUDIO SANDERS, N. 727, Apto 102, BL 07, TIPO A, ;163.000,00;163.000,00;0.00;Apartamento, 89.69 de área total, 42.36 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555530191302
 8555531381911 ;PA ;ANANINDEUA ;QUARENTA HORAS (COQUEIRO) ; ESTRADA DO 40 HORAS, N. 1800, Apto 402, BL17, VG 343 ;172.000,00;172.000,00;0.00;Apartamento, 63.98 de área total, 48.23 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555531381911
 8555531879782 ;PA ;ANANINDEUA ;AGUAS LINDAS ;ESTRADA SANTANA DO AURA, N. SN, CS 96 ;196.000,00;196.000,00;0.00;Casa, 101.28 de área total, 55.21 de área privativa, 101.28 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555531879782
 8555533425568 ;PA ;ANANINDEUA ;QUARENTA HORAS (COQUEIRO) ;ESTRADA DO 40 HORAS, N. 1800, Apto 104, BL 15 ;192.000,00;192.000,00;0.00;Apartamento, 69.62 de área total, 51.79 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555533425568
 8787700232374 ;PA ;ANANINDEUA ;COQUEIRO ;RODOVIA DO COQUEIRO, N. 18D-01, Apto 508, BL 10 ;176.000,00;176.000,00;0.00;Apartamento, 112.41 de área total, 41.13 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787700232374
