
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444416926763 ;PB ;BAYEUX ;ALTO DA BOA VISTA ;AVENIDA JOSE JOAQUIM DE MELO, N. 744, LT 18, QD 22, CS 101 ;62.685,62;124.000,00;49.45;Casa, 0.00 de área total, 56.00 de área privativa, 380.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416926763
 8444426982224 ;PB ;BAYEUX ;MARIO ANDREAZZA ;RUA SAO JOAO BATISTA, N. 95, CASA 05 ;62.685,62;124.000,00;49.45;Casa, 0.00 de área total, 47.75 de área privativa, 800.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426982224
 8444405847913 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA VEREADOR DORGIVAL DANTAS, N. 255, CS 01 ;57.599,74;112.000,00;48.58;Casa, 0.00 de área total, 46.57 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405847913
 8444408858584 ;PB ;BAYEUX ;AREA RURAL DE BAYUEX ; RUA PROJETADA, N. 171, CS 02, LT. COLINA VERDE ;55.028,33;107.000,00;48.58;Casa, 0.00 de área total, 45.66 de área privativa, 90.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408858584
 8444406149314 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA NOVE DE NOVEMBRO, N. 72, CS B ;62.425,08;121.000,00;48.41;Casa, 0.00 de área total, 60.00 de área privativa, 106.67 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406149314
 8444417481803 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA NATIVIDADE, N. 37, QD 16 LT E ;58.865,31;114.100,00;48.41;Casa, 0.00 de área total, 52.66 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417481803
 8555512688624 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA DA NATIVIDADE, N. 40, CS 03 ;49.080,65;94.200,00;47.90;Casa, 0.00 de área total, 44.00 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555512688624
 8444404257977 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA GOVERNADOR ANTONIO MARIZ, N. 266, CS 03 ;68.296,30;131.000,00;47.87;Casa, 0.00 de área total, 49.88 de área privativa, 200.67 de área do terreno,  2 qto(s), WC, 1 sala(s), Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404257977
 8444408572729 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA PROJETADA, N. 143, CS 4 QD D  LT 03 ;50.360,89;96.000,00;47.55;Casa, 0.00 de área total, 46.57 de área privativa, 103.31 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408572729
 8444406183644 ;PB ;BAYEUX ;LOT SONHO VERDE ; RUA 09 DE NOVEMBRO, N. 72, CS C, CON RES GONCALVES V ;55.499,75;105.000,00;47.15;Casa, 0.00 de área total, 60.00 de área privativa, 106.67 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406183644
 8555521559602 ;PB ;BAYEUX ;MARIO ANDREAZZA ; RUA PROJETADA B, N. 301, CS 22 ;55.499,75;105.000,00;47.15;Casa, 0.00 de área total, 57.12 de área privativa, 178.18 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555521559602
 8444406041548 ;PB ;BAYEUX ;LOT RES PANORAMICO ; RUA PROJETADA VL-05, N. 250, CS 01 COND RES PANORAMICO ;46.856,16;87.500,00;46.46;Casa, 0.00 de área total, 45.72 de área privativa, 67.66 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406041548
 8555509510569 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA SAO JOAO BATISTA, N. 47, CS 03-C ;73.408,37;137.000,00;46.42;Casa, 0.00 de área total, 53.67 de área privativa, 143.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555509510569
 8444402400870 ;PB ;BAYEUX ;CENTRO ; RUA PROJETADA 02, N. 180, CASA 04 ;42.450,04;79.000,00;46.27;Casa, 0.00 de área total, 46.57 de área privativa, 105.05 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402400870
 8444424649340 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA MARIA DO CARMO DOS SANTOS, N. 117, CS 05 ;58.628,31;108.000,00;45.72;Casa, 0.00 de área total, 52.62 de área privativa, 134.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424649340
 8444404308709 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA JOSE PAULINO FILHO, N. 270, CS 03 RUA PROJETADA 19 ;52.791,80;95.990,00;45.01;Casa, 0.00 de área total, 46.58 de área privativa, 186.30 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404308709
 8444414425538 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA JOAQUIM RODRIGUES DE SOUZA, N. 257, CS B, QD K, LT 10-A ;69.338,98;126.000,00;44.97;Casa, 0.00 de área total, 60.00 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414425538
 8444417034122 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA MANOEL CALIXTO DE LIMA, N. 520, CS B ;74.291,77;135.000,00;44.97;Casa, 58.96 de área total, 57.84 de área privativa, 70.96 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417034122
 8444401330487 ;PB ;BAYEUX ;CENTRO ;RUA MANOEL PAULINO GOMES, N. 251,  . ;44.701,07;81.000,00;44.82;Casa, 0.00 de área total, 46.57 de área privativa, 81.41 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401330487
 8444403725659 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA MANOEL PAULINO GOMES, N. 140, CS 01 ;43.045,47;78.000,00;44.82;Casa, 0.00 de área total, 46.58 de área privativa, 186.30 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403725659
 8444406666378 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA JORGE AMADO, N. 105, CS 02, LOT. PANORAMICO ;59.892,60;107.500,00;44.29;Casa, 45.72 de área total, 45.72 de área privativa, 75.52 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406666378
 8444406161489 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA VEREADOR DORGIVAL DANTAS, N. 285, CS 01 COND RES VILLA CLARA ;54.187,40;97.000,00;44.14;Casa, 0.00 de área total, 51.81 de área privativa, 117.42 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406161489
 8787707135722 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA MANOEL PAULINO GOMES, N. 535, Apto 202C, ;79.915,69;140.000,00;42.92;Apartamento, 67.47 de área total, 52.78 de área privativa, 0.01 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707135722
 8787710138583 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA MANOEL PAULINO GOMES, N. 535, Apto 204-, 204B ;79.915,69;140.000,00;42.92;Apartamento, 67.47 de área total, 52.78 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710138583
 8444403031622 ;PB ;BAYEUX ;MARIO ANDREAZZA ; RUA PROJETADA, N. 500, CS 06 ;61.714,02;108.000,00;42.86;Casa, 87.90 de área total, 47.10 de área privativa, 99.14 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403031622
 8444404481982 ;PB ;BAYEUX ;COMERCIAL NORTE ; RUA PROJETADA SETOR 20, N. 40, ATUALMENTE RUA NOBERTO PAIVA ;60.571,17;106.000,00;42.86;Casa, 61.92 de área total, 46.58 de área privativa, 83.60 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404481982
 8444404547614 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA PROJETADA SETOR 20, N. 41, CASA 03 ;61.142,59;107.000,00;42.86;Casa, 46.58 de área total, 46.58 de área privativa, 186.30 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404547614
 8444408646625 ;PB ;BAYEUX ;AEROPORTO ; R PROJETADA, N. 251, CS 104 ;61.714,02;108.000,00;42.86;Casa, 54.00 de área total, 54.00 de área privativa, 84.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408646625
 8444416214429 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA MARECHAL CASTELO BRANCO, N. 320, CS LT 15 QD 05 ;62.056,87;108.600,00;42.86;Casa, 77.53 de área total, 46.57 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416214429
 8444425524990 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA PROJETADA, N. 171, CASA 01, CS 1 ;60.571,17;106.000,00;42.86;Casa, 75.50 de área total, 45.66 de área privativa, 90.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425524990
 8444407977318 ;PB ;BAYEUX ;LOT COLINA VERDE ;RUA PROJETADA 03, N. 63, CS 01 ;65.348,57;114.000,00;42.68;Casa, 0.00 de área total, 46.57 de área privativa, 81.41 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407977318
 8444408014203 ;PB ;BAYEUX ;JARDIM AEROPORTO ;RUA PROJETADA 13, N. 157, CS 101 ;67.068,27;117.000,00;42.68;Casa, 90.67 de área total, 65.37 de área privativa, 96.70 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408014203
 8444415649871 ;PB ;BAYEUX ;CENTRO ;RUA NATIVIDADE, N. 37, CS LT E QD 16 ;66.436,12;115.897,22;42.68;Casa, 72.51 de área total, 52.66 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415649871
 8444405371986 ;PB ;BAYEUX ;LOT RES PANORAMICO ; R VITORIA, N. 240, CS 01 ;52.681,52;91.000,00;42.11;Casa, 45.72 de área total, 45.72 de área privativa, 66.71 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405371986
